sim/none/none                                      Do nothing at all!
sim/operation/quit                                 Quit the simulation.
sim/operation/screenshot                           Take a screenshot.
sim/operation/regen_weather                        Regenerate Weather.
sim/operation/cycle_dump                           Print out a cycle dump for this frame.
sim/operation/stab_deriv_pitch                     Print longitudinal stability derivative.
sim/operation/stab_deriv_heading                   Print lateral stability derivative.
sim/operation/recording                            Toggle user interaction recording pane.
sim/operation/create_snap_marker                   Drop a snapshot marker for replay mode.
sim/operation/test_data_ref                        Test dataref: Run from 0 to 1 and back
sim/operation/show_fps                             Toggle displaying the simulator's frames per second onscreen.
sim/operation/dev_console                          Toggle dev console.
sim/operation/toggle_full_screen                   Toggle full-screen mode.
sim/operation/load_aircraft                        Load an airplane.
sim/operation/load_real_weather                    Scan real weather files.
sim/operation/fail_system                          Fail selected in failures screen.
sim/operation/make_panel_previews                  Makes screenshots of your panels.
sim/operation/toggle_controllers_window            Toggle list of nearby ATC.
sim/operation/close_windows                        Close any windows to get back to cockpit.
sim/operation/load_situation_1                     Load situation
sim/operation/load_situation_2                     Load situation
sim/operation/load_situation_3                     Load situation
sim/view/track-ir_toggle                           Toggle Track-IR control.
sim/view/oculus_reset                              Reset your Oculus Rift head orientation.
sim/view/oculus_IPD_inc                            Increase eye distance for Oculus Rift.
sim/view/oculus_IPD_dec                            Decrease eye distance for Oculus Rift.
sim/view/oculus_predict_toggle                     Toggle motion prediction for Oculus Rift.
sim/map/show_current                               Bring up the map.
sim/map/show_low_enroute                           Bring up the low enroute map.
sim/map/show_high_enroute                          Bring up the high enroute map.
sim/map/show_sectional                             Bring up the sectional map.
sim/map/show_textured                              Bring up the textured map.
sim/operation/slider_01                            Slider #1 On/Off control.
sim/operation/slider_02                            Slider #2 On/Off control.
sim/operation/slider_03                            Slider #3 On/Off control.
sim/operation/slider_04                            Slider #4 On/Off control.
sim/operation/slider_05                            Slider #5 On/Off control.
sim/operation/slider_06                            Slider #6 On/Off control.
sim/operation/slider_07                            Slider #7 On/Off control.
sim/operation/slider_08                            Slider #8 On/Off control.
sim/operation/slider_09                            Slider #9 On/Off control.
sim/operation/slider_10                            Slider #10 On/Off control.
sim/operation/slider_11                            Slider #11 On/Off control.
sim/operation/slider_12                            Slider #12 On/Off control.
sim/operation/slider_13                            Slider #13 On/Off control.
sim/operation/slider_14                            Slider #14 On/Off control.
sim/operation/slider_15                            Slider #15 On/Off control.
sim/operation/slider_16                            Slider #16 On/Off control.
sim/operation/slider_17                            Slider #17 On/Off control.
sim/operation/slider_18                            Slider #18 On/Off control.
sim/operation/slider_19                            Slider #19 On/Off control.
sim/operation/slider_20                            Slider #20 On/Off control.
sim/operation/slider_21                            Slider #21 On/Off control.
sim/operation/slider_22                            Slider #22 On/Off control.
sim/operation/slider_23                            Slider #23 On/Off control.
sim/operation/slider_24                            Slider #24 On/Off control.
sim/magnetos/magnetos_down_1                       Magnetos down one notch for engine #1.
sim/magnetos/magnetos_down_2                       Magnetos down one notch for engine #2.
sim/magnetos/magnetos_down_3                       Magnetos down one notch for engine #3.
sim/magnetos/magnetos_down_4                       Magnetos down one notch for engine #4.
sim/magnetos/magnetos_down_5                       Magnetos down one notch for engine #5.
sim/magnetos/magnetos_down_6                       Magnetos down one notch for engine #6.
sim/magnetos/magnetos_down_7                       Magnetos down one notch for engine #7.
sim/magnetos/magnetos_down_8                       Magnetos down one notch for engine #8.
sim/magnetos/magnetos_up_1                         Magnetos up one notch for engine #1.
sim/magnetos/magnetos_up_2                         Magnetos up one notch for engine #2.
sim/magnetos/magnetos_up_3                         Magnetos up one notch for engine #3.
sim/magnetos/magnetos_up_4                         Magnetos up one notch for engine #4.
sim/magnetos/magnetos_up_5                         Magnetos up one notch for engine #5.
sim/magnetos/magnetos_up_6                         Magnetos up one notch for engine #6.
sim/magnetos/magnetos_up_7                         Magnetos up one notch for engine #7.
sim/magnetos/magnetos_up_8                         Magnetos up one notch for engine #8.
sim/magnetos/magnetos_off_1                        Magnetos off for engine #1.
sim/magnetos/magnetos_off_2                        Magnetos off for engine #2.
sim/magnetos/magnetos_off_3                        Magnetos off for engine #3.
sim/magnetos/magnetos_off_4                        Magnetos off for engine #4.
